genome	rank	taxon	parent_taxon	crown_node	crown_support	crown_descendants	target_seeds	primary_seeds	assignment_confidence	decision
AAA795-A20	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
AAA795-D22	Family	Pelagibacteraceae	NA	706	1	109	65	65	topology_high	topology_high
AG-313-A04	Family	Cosmipelagibacteraceae	NA	993	1	3	3	3	topology_high	topology_high
AG-325-C18	Family	Pelagibacteraceae	NA	717	1	98	60	60	topology_high	topology_high
AG-325-C21	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-325-E08	Family	Pelagibacteraceae	NA	752	1	2	2	2	topology_high	topology_high
AG-325-E13	Family	Cosmipelagibacteraceae	NA	1020	1	5	3	3	topology_high	topology_high
AG-325-E20	Family	Cosmipelagibacteraceae	NA	1025	1	5	3	3	topology_high	topology_high
AG-325-G21	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-325-L02	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-325-L05	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-333-A04	Family	Pelagibacteraceae	NA	557	1	106	90	90	topology_high	topology_high
AG-333-D08	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-333-K06	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-333-N15	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-337-C09	Family	Pelagibacteraceae	NA	877	1	12	7	7	topology_high	topology_high
AG-337-C19	Family	Pelagibacteraceae	NA	957	1	3	2	2	topology_high	topology_high
AG-337-D16	Family	Pelagibacteraceae	NA	908	0.99	2	2	2	topology_high	topology_high
AG-337-D17	Family	Pelagibacteraceae	NA	728	1	4	4	4	topology_high	topology_high
AG-337-E15	Family	Cosmipelagibacteraceae	NA	1006	0.98	8	5	5	topology_high	topology_high
AG-337-G04	Family	Pelagibacteraceae	NA	880	0.98	9	6	6	topology_high	topology_high
AG-337-G11	Family	Pelagibacteraceae	NA	768	1	10	8	8	topology_high	topology_high
AG-343-E17	Family	Cosmipelagibacteraceae	NA	1034	1	2	2	2	topology_high	topology_high
AG-349-I05	Family	Pelagibacteraceae	NA	860	1	5	3	3	topology_high	topology_high
AG-349-L17	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
AG-349-O05	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-359-B05	Family	Pelagibacteraceae	NA	941	1	2	2	2	topology_high	topology_high
AG-359-C09	Family	Pelagibacteraceae	NA	666	1	12	12	9	topology_high	topology_high
AG-359-D09	Family	Pelagibacteraceae	NA	805	1	3	3	3	topology_high	topology_high
AG-359-F04	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-359-G17	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-359-G22	Family	Pelagibacteraceae	NA	737	1	4	3	3	topology_high	topology_high
AG-359-M21	Family	Pelagibacteraceae	NA	670	1	2	2	2	topology_high	topology_high
AG-359-O11	Family	Pelagibacteraceae	NA	944	1	2	2	2	topology_high	topology_high
AG-359-P18	Family	Pelagibacteraceae	NA	717	1	98	60	60	topology_high	topology_high
AG-365-B19	Family	Cosmipelagibacteraceae	NA	1032	0.99	7	4	4	topology_high	topology_high
AG-365-D07	Family	Pelagibacteraceae	NA	546	1	441	284	278	topology_high	topology_high
AG-365-L04	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-365-O14	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-390-C17	Family	Pelagibacteraceae	NA	612	0.99	3	2	2	topology_high	topology_high
AG-390-C19	Family	Pelagibacteraceae	NA	546	1	441	284	278	topology_high	topology_high
AG-390-C22	Family	Cosmipelagibacteraceae	NA	1020	1	5	3	3	topology_high	topology_high
AG-390-D02	Family	Pelagibacteraceae	NA	749	1	7	4	4	topology_high	topology_high
AG-390-D15	Family	Pelagibacteraceae	NA	754	0.99	2	2	2	topology_high	topology_high
AG-390-E04	Family	Pelagibacteraceae	NA	802	1	10	4	4	topology_high	topology_high
AG-390-G11	Family	Pelagibacteraceae	NA	698	1	4	2	2	topology_high	topology_high
AG-390-G13	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-390-G23	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-390-I15	Family	Pelagibacteraceae	NA	690	0.98	4	2	2	topology_high	topology_high
AG-390-J13	Family	Pelagibacteraceae	NA	749	1	7	4	4	topology_high	topology_high
AG-390-J21	Family	Pelagibacteraceae	NA	782	0.99	3	2	2	topology_high	topology_high
AG-390-L03	Family	Pelagibacteraceae	NA	698	1	4	2	2	topology_high	topology_high
AG-390-M02	Family	Pelagibacteraceae	NA	749	1	7	4	4	topology_high	topology_high
AG-390-M07	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-390-M14	Family	Pelagibacteraceae	NA	579	1	2	2	2	topology_high	topology_high
AG-390-M15	Family	Cosmipelagibacteraceae	NA	1023	1	2	2	2	topology_high	topology_high
AG-390-O04	Family	Pelagibacteraceae	NA	706	1	109	65	65	topology_high	topology_high
AG-404-B04	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-404-J20	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-404-O05	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-404-O18	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-404-P13	Family	Pelagibacteraceae	NA	877	1	12	7	7	topology_high	topology_high
AG-410-K05	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-410-L19	Family	Pelagibacteraceae	NA	802	1	10	4	4	topology_high	topology_high
AG-410-O02	Family	Pelagibacteraceae	NA	601	0.99	2	2	2	topology_high	topology_high
AG-414-B08	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-414-B15	Family	Cosmipelagibacteraceae	NA	1034	1	2	2	2	topology_high	topology_high
AG-414-L04	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-414-M23	Family	Pelagibacteraceae	NA	546	1	441	284	278	topology_high	topology_high
AG-414-O09	Family	Pelagibacteraceae	NA	883	1	4	3	3	topology_high	topology_high
AG-414-O11	Family	Pelagibacteraceae	NA	676	0.99	2	2	1	topology_high	topology_high
AG-422-A21	Family	Cosmipelagibacteraceae	NA	1036	0.99	3	2	2	topology_high	topology_high
AG-422-B22	Family	Pelagibacteraceae	NA	602	1	3	3	3	topology_high	topology_high
AG-422-C13	Family	Pelagibacteraceae	NA	802	1	10	4	4	topology_high	topology_high
AG-422-C20	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
AG-422-D23	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-422-E09	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
AG-422-F15	Family	Cosmipelagibacteraceae	NA	998	1	2	2	2	topology_high	topology_high
AG-422-G03	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
AG-422-K17	Family	Cosmipelagibacteraceae	NA	1006	0.98	8	5	5	topology_high	topology_high
AG-422-L15	Family	Cosmipelagibacteraceae	NA	1027	1	3	2	2	topology_high	topology_high
AG-422-N14	Family	Pelagibacteraceae	NA	546	1	441	284	278	topology_high	topology_high
AG-422-N15	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-426-C04	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-426-D09	Family	Pelagibacteraceae	NA	739	1	2	2	2	topology_high	topology_high
AG-426-E13	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-426-E17	Family	Pelagibacteraceae	NA	970	1	3	3	2	topology_high	topology_high
AG-426-F15	Family	Pelagibacteraceae	NA	876	1	23	15	15	topology_high	topology_high
AG-426-G09	Family	Pelagibacteraceae	NA	546	1	441	284	278	topology_high	topology_high
AG-426-I10	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
AG-426-I15	Family	Cosmipelagibacteraceae	NA	1036	0.99	3	2	2	topology_high	topology_high
AG-426-K09	Family	Pelagibacteraceae	NA	876	1	23	15	15	topology_high	topology_high
AG-426-M05	Family	Pelagibacteraceae	NA	601	0.99	2	2	2	topology_high	topology_high
AG-426-M19	Family	Pelagibacteraceae	NA	915	1	2	2	2	topology_high	topology_high
AG-426-O05	Family	Cosmipelagibacteraceae	NA	1036	0.99	3	2	2	topology_high	topology_high
AG-426-P08	Family	Pelagibacteraceae	NA	706	1	109	65	65	topology_high	topology_high
AG-430-A11	Family	Pelagibacteraceae	NA	555	1	150	128	124	topology_high	topology_high
AG-430-B09	Family	Pelagibacteraceae	NA	551	1	294	207	203	topology_high	topology_high
AG-430-E20	Family	Pelagibacteraceae	NA	681	1	4	4	4	topology_high	topology_high
AG-430-F03	Family	Cosmipelagibacteraceae	NA	1031	0.99	8	5	5	topology_high	topology_high
AG-430-F16	Family	Pelagibacteraceae	NA	983	1	2	2	2	topology_high	topology_high
AG-430-G11	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-430-I18	Family	Pelagibacteraceae	NA	861	1	4	2	2	topology_high	topology_high
AG-430-J04	Family	Pelagibacteraceae	NA	980	1	7	5	5	topology_high	topology_high
AG-430-J21	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-430-K07	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
AG-439-B12	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-439-C08	Family	Cosmipelagibacteraceae	NA	1032	0.99	7	4	4	topology_high	topology_high
